Date,Day,Tests,Cases,People.Not.Positive...Total,People.Tested...Age.0.17,People.Tested...Age.18.29,People.Tested...Age.30.39,People.Tested...Age.40.49,People.Tested...Age.50.59,People.Tested...Age.60.69,People.Tested...Age.70.79,People.Tested...Age.80.,People.Tested...Age.Unknown,People.Tested...Female,People.Tested...Male,People.Tested...Gender.Unknown,People.Tested...Latinx,People.Tested...Asian.Non.Latinx,People.Tested...Black.Non.Latinx,People.Tested...White.Non.Latinx,People.Tested...Other.Race.Non.Latinx,People.Tested...Unknown.Race.Ethnicity,People.Positive...Age.0.17,People.Positive...Age.18.29,People.Positive...Age.30.30,People.Positive...Age.40.49,People.Positive...Age.50.59,People.Positive...Age.60.69,People.Positive...Age.70.79,People.Positive...Age.80.,People.Positive...Age.Unknown,People.Positive...Female,People.Positive...Male,People.Positive...Gender.Unknown,People.Positive...Latinx,People.Positive...Asian.Non.Latinx,People.Positive...Black.Non.Latinx,People.Positive...White.Non.Latinx,People.Positive...Other.Race.Non.Latinx,People.Positive...Unknown.Race.Ethnicity,People.Not.Positive...Age.0.17,People.Not.Positive...Age.18.29,People.Not.Positive...Age.30.39,People.Not.Positive...Age.40.49,People.Not.Positive...Age.50.59,People.Not.Positive...Age.60.69,People.Not.Positive...Age.70.79,People.Not.Positive...Age.80.,People.Not.Positive...Age.Unknown,People.Not.Positive...Female,People.Not.Positive...Male,People.Not.Positive...Gender.Unknown,People.Not.Positive...Latinx,People.Not.Positive...Asian.Non.Latinx,People.Not.Positive...Black.Non.Latinx,People.Not.Positive...White.Non.Latinx,People.Not.Positive...Other.Race.Non.Latinx,People.Not.Positive...Unknown.Race.Ethnicity
5/8/2020,Friday,4557.00,924.00,3633.00,243.00,821.00,937.00,793.00,733.00,538.00,304.00,178.00,10.00,2269.00,2062.00,226.00,911.00,68.00,558.00,510.00,162.00,2348.00,52.00,168.00,192.00,194.00,153.00,87.00,44.00,34.00,0.00,439.00,464.00,21.00,431.00,15.00,120.00,73.00,42.00,243.00,191.00,653.00,745.00,599.00,580.00,451.00,260.00,144.00,10.00,1830.00,1598.00,205.00,480.00,53.00,438.00,437.00,120.00,2105.00
3/31/2020,Tuesday,1420.00,484.00,936.00,21.00,218.00,312.00,274.00,261.00,184.00,90.00,59.00,1.00,779.00,630.00,11.00,136.00,27.00,356.00,200.00,54.00,647.00,5.00,57.00,103.00,96.00,92.00,67.00,37.00,27.00,0.00,255.00,221.00,8.00,105.00,15.00,215.00,81.00,15.00,53.00,16.00,161.00,209.00,178.00,169.00,117.00,53.00,32.00,1.00,524.00,409.00,3.00,31.00,12.00,141.00,119.00,39.00,594.00
3/9/2020,Monday,66.00,5.00,61.00,21.00,11.00,16.00,4.00,7.00,2.00,3.00,2.00,0.00,39.00,25.00,2.00,9.00,4.00,9.00,14.00,5.00,25.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,3.00,2.00,0.00,2.00,1.00,1.00,1.00,0.00,0.00,18.00,11.00,16.00,4.00,7.00,2.00,2.00,1.00,0.00,36.00,23.00,2.00,7.00,3.00,8.00,13.00,5.00,25.00
4/22/2020,Wednesday,3818.00,1035.00,2783.00,180.00,583.00,674.00,622.00,737.00,533.00,266.00,213.00,10.00,1844.00,1660.00,314.00,687.00,69.00,632.00,436.00,145.00,1849.00,32.00,168.00,165.00,164.00,207.00,147.00,64.00,87.00,1.00,502.00,469.00,64.00,418.00,22.00,218.00,95.00,47.00,235.00,148.00,415.00,509.00,458.00,530.00,386.00,202.00,126.00,9.00,1342.00,1191.00,250.00,269.00,47.00,414.00,341.00,98.00,1614.00
4/15/2020,Wednesday,2154.00,614.00,1540.00,88.00,354.00,423.00,395.00,368.00,274.00,152.00,99.00,1.00,1167.00,958.00,29.00,366.00,59.00,478.00,326.00,120.00,805.00,20.00,90.00,102.00,108.00,122.00,83.00,46.00,43.00,0.00,292.00,319.00,3.00,225.00,20.00,173.00,60.00,43.00,93.00,68.00,264.00,321.00,287.00,246.00,191.00,106.00,56.00,1.00,875.00,639.00,26.00,141.00,39.00,305.00,266.00,77.00,712.00
3/22/2020,Sunday,558.00,169.00,389.00,40.00,74.00,123.00,95.00,100.00,69.00,33.00,23.00,1.00,289.00,265.00,4.00,40.00,17.00,176.00,133.00,33.00,159.00,6.00,23.00,28.00,31.00,37.00,24.00,14.00,6.00,0.00,75.00,94.00,0.00,22.00,6.00,82.00,47.00,8.00,4.00,34.00,51.00,95.00,64.00,63.00,45.00,19.00,17.00,1.00,214.00,171.00,4.00,18.00,11.00,94.00,86.00,25.00,155.00
5/25/2020,Monday,1645.00,252.00,1393.00,78.00,296.00,267.00,201.00,264.00,261.00,162.00,115.00,1.00,809.00,771.00,65.00,154.00,24.00,423.00,335.00,44.00,665.00,7.00,34.00,33.00,40.00,43.00,51.00,27.00,17.00,0.00,121.00,127.00,4.00,71.00,6.00,64.00,45.00,3.00,63.00,71.00,262.00,234.00,161.00,221.00,210.00,135.00,98.00,1.00,688.00,644.00,61.00,83.00,18.00,359.00,290.00,41.00,602.00
4/17/2020,Friday,2738.00,757.00,1981.00,90.00,433.00,524.00,479.00,505.00,364.00,164.00,176.00,3.00,1472.00,1250.00,16.00,486.00,82.00,509.00,439.00,113.00,1109.00,16.00,128.00,124.00,144.00,142.00,112.00,45.00,46.00,0.00,379.00,374.00,4.00,280.00,21.00,198.00,110.00,45.00,103.00,74.00,305.00,400.00,335.00,363.00,252.00,119.00,130.00,3.00,1093.00,876.00,12.00,206.00,61.00,311.00,329.00,68.00,1006.00
5/12/2020,Tuesday,4598.00,940.00,3658.00,287.00,851.00,866.00,769.00,709.00,582.00,333.00,192.00,9.00,2413.00,2084.00,101.00,969.00,65.00,656.00,598.00,136.00,2174.00,64.00,178.00,177.00,182.00,161.00,93.00,49.00,36.00,0.00,488.00,447.00,5.00,435.00,11.00,155.00,90.00,21.00,228.00,223.00,673.00,689.00,587.00,548.00,489.00,284.00,156.00,9.00,1925.00,1637.00,96.00,534.00,54.00,501.00,508.00,115.00,1946.00
4/16/2020,Thursday,2465.00,670.00,1795.00,82.00,400.00,472.00,429.00,455.00,342.00,170.00,115.00,0.00,1221.00,1167.00,77.00,380.00,53.00,500.00,364.00,86.00,1082.00,8.00,116.00,115.00,116.00,119.00,93.00,61.00,42.00,0.00,311.00,351.00,8.00,229.00,14.00,195.00,90.00,29.00,113.00,74.00,284.00,357.00,313.00,336.00,249.00,109.00,73.00,0.00,910.00,816.00,69.00,151.00,39.00,305.00,274.00,57.00,969.00
5/22/2020,Friday,4831.00,710.00,4121.00,288.00,915.00,958.00,758.00,763.00,605.00,314.00,211.00,19.00,2437.00,2210.00,184.00,956.00,64.00,757.00,511.00,157.00,2386.00,60.00,153.00,136.00,124.00,106.00,73.00,35.00,23.00,0.00,367.00,335.00,8.00,333.00,10.00,138.00,61.00,26.00,142.00,228.00,762.00,822.00,634.00,657.00,532.00,279.00,188.00,19.00,2070.00,1875.00,176.00,623.00,54.00,619.00,450.00,131.00,2244.00
5/9/2020,Saturday,2686.00,523.00,2163.00,159.00,479.00,578.00,427.00,441.00,357.00,157.00,85.00,3.00,1423.00,1232.00,31.00,543.00,47.00,397.00,362.00,97.00,1240.00,34.00,104.00,101.00,99.00,90.00,54.00,28.00,13.00,0.00,263.00,256.00,4.00,243.00,9.00,89.00,36.00,17.00,129.00,125.00,375.00,477.00,328.00,351.00,303.00,129.00,72.00,3.00,1160.00,976.00,27.00,300.00,38.00,308.00,326.00,80.00,1111.00
3/21/2020,Saturday,556.00,125.00,431.00,21.00,88.00,150.00,97.00,74.00,61.00,44.00,16.00,5.00,285.00,267.00,4.00,43.00,29.00,158.00,123.00,32.00,171.00,0.00,18.00,25.00,20.00,28.00,16.00,13.00,5.00,0.00,53.00,72.00,0.00,24.00,6.00,61.00,26.00,4.00,4.00,21.00,70.00,125.00,77.00,46.00,45.00,31.00,11.00,5.00,232.00,195.00,4.00,19.00,23.00,97.00,97.00,28.00,167.00
4/28/2020,Tuesday,4363.00,1285.00,3078.00,196.00,790.00,816.00,786.00,749.00,574.00,271.00,175.00,6.00,2180.00,1983.00,200.00,942.00,73.00,547.00,481.00,253.00,2067.00,67.00,243.00,228.00,248.00,243.00,148.00,61.00,47.00,0.00,596.00,648.00,41.00,559.00,15.00,213.00,87.00,84.00,327.00,129.00,547.00,588.00,538.00,506.00,426.00,210.00,128.00,6.00,1584.00,1335.00,159.00,383.00,58.00,334.00,394.00,169.00,1740.00
4/18/2020,Saturday,1775.00,527.00,1248.00,76.00,274.00,355.00,341.00,315.00,229.00,118.00,67.00,0.00,917.00,843.00,15.00,297.00,60.00,384.00,245.00,76.00,713.00,13.00,85.00,100.00,96.00,90.00,78.00,44.00,21.00,0.00,239.00,283.00,5.00,170.00,18.00,156.00,55.00,24.00,104.00,63.00,189.00,255.00,245.00,225.00,151.00,74.00,46.00,0.00,678.00,560.00,10.00,127.00,42.00,228.00,190.00,52.00,609.00
5/31/2020,Sunday,1295.00,120.00,1175.00,87.00,259.00,260.00,199.00,185.00,153.00,90.00,61.00,1.00,701.00,583.00,11.00,126.00,17.00,286.00,242.00,34.00,590.00,16.00,29.00,19.00,22.00,11.00,13.00,5.00,5.00,0.00,59.00,60.00,1.00,38.00,1.00,36.00,6.00,0.00,39.00,71.00,230.00,241.00,177.00,174.00,140.00,85.00,56.00,1.00,642.00,523.00,10.00,88.00,16.00,250.00,236.00,34.00,551.00
3/20/2020,Friday,801.00,154.00,647.00,51.00,131.00,170.00,126.00,128.00,112.00,54.00,26.00,3.00,453.00,340.00,8.00,43.00,20.00,267.00,148.00,29.00,294.00,2.00,23.00,22.00,31.00,30.00,27.00,15.00,4.00,0.00,69.00,85.00,0.00,20.00,6.00,76.00,38.00,2.00,12.00,49.00,108.00,148.00,95.00,98.00,85.00,39.00,22.00,3.00,384.00,255.00,8.00,23.00,14.00,191.00,110.00,27.00,282.00
